Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Latitude,Longitude
Djoser,Hiemlender,Step Pyramid of Djoser,3,Saqqara,121,109,60,29.871215,31.216644
Sekhemkhet,-,Buried Pyramid,3,Saqqara,120,120,70,29.866,31.213
Khaba (?),-,Layer Pyramid,3,Zawyet el'Aryan,84,84,40,29.93282,31.161262
Huni,-,Pyramid Lepsius I,3,Abu Rawash,215,215,145,30.040833,31.094444
Huni (?),-,Pyramid of Athribis,3,Athribis,20,20,16,30.470556,31.188056
Huni (?),-,Pyramid of Elephantine,3,Elephantine,18,18,10.5,24.085556,32.885278
Huni (?),-,Edfu South Pyramid,3,Edfu,18,18,12.5,24.943611,32.841944
Huni (?),-,Al Kula Pyramid,3,Hierakonpolis,19,19,12,25.116667,32.8
Huni (?),-,Pyramid of Naqada (Pyramid of Ombos),3,Naqada,19,19,14,25.940556,32.709167
Huni (?),-,Pyramid of Sinki,3,Abydos,19,19,12.5,26.157778,31.966111
Huni (?),-,Pyramid of Zawyet el-Maiyitin,3,Al-Minya,22.4,22.4,17,28.045833,30.828611
Sneferu,-,Pyramid of Seila,4,Seila,25,25,6.8,29.382589,31.053581
Sneferu,Snefru endures,Pyramid of Meidum,4,Meidum,144,144,92,29.388056,31.156944
Sneferu,Snefru shines in the South,Bent Pyramid,4,Dahshur,188,188,105,29.790278,31.209167
Sneferu,Snefru shines in the North,Red Pyramid (North Pyramid),4,Dahshur,220,220,105,29.808333,31.205833
Hetepheres I,-,Pyramid G1-a,4,Giza,49.5,49.5,30.25,29.978836,31.136261
Meritites I,-,Pyramid G1-b,4,Giza,50,50,30,29.978333,31.136111
Henutsen,King's daughter. Henutsen,Pyramid G1-c,4,Giza,46.25,46.25,29.6,29.977778,31.136389
Khufu,-,Pyramid G1-d,4,Giza,23,23,14,29.97785,31.136256
Khufu,Khufu's horizon,The Great Pyramid of Giza,4,Giza,230.3,230.3,146.6,29.979167,31.134167
Djedefre,Djedefre's Starry Sky,Pyramid of Djedefre,4,Abu Rawash,106,106,67,30.032222,31.074722
Bikheris (?),Star of ..?..-Ka,Unfinished Northern Pyramid of Zawyet el'Aryan,4,Zawyet el'Aryan,200,200,80,29.940122,31.151556
Khafra,Khafra is great,Pyramid of Khafre,4,Giza,215.25,215.25,143.5,29.975947,31.130698
Menkaure,Menkaure is divine,Pyramid of Menkaure,4,Giza,105.46,105.46,65.5,29.972378,31.128327
Menkaure,-,Pyramid G-3c (western),4,Giza,31.5,31.5,21,29.971592,31.127274
Menkaure,-,Pyramid G-3b (middle),4,Giza,31.5,31.5,21,29.971592,31.127783
Menkaure,-,Pyramid G-3a (eastern),4,Giza,44.4,44.4,28.3,29.971592,31.128293
Shepseskaf,The Purified Pyramid,Mastabat al-Fir'aun,4,Giza,99.6,74.4,18,29.838889,31.215
Khentkawes,-,Step tomb of Khentkaus I,4,Giza,35.5,45.8,17.5,29.973306,31.135361
Menkauhor (?),-,Pyramid Lepsius L,4,Dahshur,85,85,60,29.810833,31.212222
Userkaf,The pure sites of Userkaf,Pyramid of Userkaf,5,Saqqara,73.3,73.3,49,29.873611,31.218889
Neferhetepes ,-,Pyramid of Neferhetepes (wife of Userkaf),5,Saqqara,26,26,17,29.87275,31.2186
Sahure,The personality (ba) of Sahure appears,Pyramid of Sahure,5,Abusir,78.75,78.75,47,29.897778,31.203333
Neferirkare Kakai,Personality (ba) of Neferirkare,Pyramid of Neferirkare,5,Abusir,72,72,52,29.895,31.2025
Neferefre,The power of Neferefre is divine,Pyramid of Neferefre,5,Abusir,65,65,70,29.893889,31.201667
Khentkawes II,King's Wife (King's Mother),Pyramid of Queen Khentkawes II,5,Abusir,25,25,16,29.894143,31.202523
Shepseskare (?),-,Unfinished pyramid of North Abusir,5,Abusir,105,105,50,29.898664,31.201633
Nyuserre Ini,The seats of Niuserre will endure,Pyramid of Nyuserre,5,Abusir,78.9,78.9,51.68,29.895667,31.203556
Menkauhor Kaiu,The divine places of Menkauhor,Headless Pyramid,5,Saqqara,52,52,52.5,29.875278,31.223611
Djedkare Isesi,Beautiful is Djedkare,Pyramid of Djedkare-Isesi,5,South Saqqara,78.75,78.75,52.5,29.851111,31.220833
Unas,The places of Unas are beautiful,Pyramid of Unas,5,North Saqqara,57.75,57.75,43,29.868333,31.214722
Teti,The places of Teti are enduring,Pyramid of Teti,6,North Saqqara,78.75,78.75,52.5,29.875278,31.221667
Pepi I,The beauty of Pepi may endure,Pyramid of Pepi I,6,South Saqqara,78.75,78.75,52.5,29.85451,31.21909
Merenre,The beauty of Merenre appears,Pyramid of Merenre,6,South Saqqara,78.75,78.75,52.5,29.850556,31.215
Pepi II,Pepi is established and living,Pyramid of Pepi II,6,South Saqqara,79,79,52.4,29.8403,31.2133
Qakare Ibi,-,Pyramid of Ibi,8,South Saqqara,31.5,31.5,21,29.841667,31.217778
Khui,-,Pyramid of Khui,8,Dara,146,136,15,27.307778,30.871667
Amenemhat I,Amenemhat appears at his place,Pyramid of Amenemhet I,12,Lisht,84,84,55,29.574722,31.225
Senusret I,Senusret beholds the two lands,Pyramid of Senusret I,12,Lisht,105,105,61.25,29.560009,31.220876
Amenemhat II,Amenemhat is provided,White Pyramid,12,Dahshur,50,50,84,29.805563,31.222781
